# TEST CONFIGURATION BEGIN
# FileStream(filename='elec.csv', target_idx=-1, n_targets=1, cat_features=None)
# [M0] HoeffdingOptTree(binary_split=False, grace_period=200, leaf_prediction='nba', nominal_attributes=None, remove_poor_atts=False, secondary_split_confidence=0.1, split_confidence=1e-07, split_criterion='info_gain', tie_threshold=0.05)
# EvaluatePrequential(batch_size=1, data_points_for_classification=False, max_samples=20000, max_time=inf, metrics=['accuracy', 'kappa'], n_wait=200, output_file='result_elec.csv', pretrain_size=1000, restart_stream=True, show_plot=True)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_kappa_[M0],current_kappa_[M0]
1000,0.000000,0.000000,0.000000,0.000000
1001,0.500000,0.500000,0.000000,0.000000
1002,0.666667,0.666667,0.000000,0.000000
1003,0.750000,0.750000,0.000000,0.000000
1004,0.800000,0.800000,0.000000,0.000000
1199,0.825000,0.825000,0.000000,0.000000
1399,0.785000,0.745000,0.000000,0.000000
1599,0.776667,0.760000,0.000000,0.000000
1799,0.710000,0.510000,0.000000,0.000000
1999,0.702000,0.670000,0.000000,0.000000
2199,0.698333,0.680000,0.000000,0.000000
2399,0.656429,0.405000,0.000000,0.000000
2599,0.648750,0.595000,0.000000,0.000000
2799,0.632778,0.505000,0.000000,0.000000
2999,0.645500,0.760000,0.000000,0.000000
3199,0.640000,0.585000,0.000000,0.000000
3399,0.620417,0.405000,0.000000,0.000000
3599,0.624615,0.675000,0.000000,0.000000
3799,0.637500,0.805000,0.000000,0.000000
3999,0.633333,0.575000,0.000000,0.000000
4199,0.636563,0.685000,0.000000,0.000000
4399,0.640588,0.705000,0.000000,0.000000
4599,0.632500,0.495000,0.000000,0.000000
4799,0.631316,0.610000,0.000000,0.000000
4999,0.636500,0.735000,0.000000,0.000000
5199,0.631905,0.540000,0.000000,0.000000
5399,0.628182,0.550000,0.000000,0.000000
5599,0.628261,0.630000,0.000000,0.000000
5799,0.625625,0.565000,0.000000,0.000000
5999,0.625600,0.625000,0.000000,0.000000
6199,0.617885,0.425000,0.000000,0.000000
6399,0.617778,0.615000,0.000000,0.000000
6599,0.621429,0.720000,0.000000,0.000000
6799,0.619655,0.570000,0.000000,0.000000
6999,0.617833,0.565000,0.000000,0.000000
7199,0.615968,0.560000,0.000000,0.000000
7399,0.608281,0.370000,0.000000,0.000000
7599,0.606515,0.550000,0.000000,0.000000
7799,0.600735,0.410000,0.000000,0.000000
7999,0.597429,0.485000,0.000000,0.000000
8199,0.594167,0.480000,0.000000,0.000000
8399,0.590270,0.450000,0.000000,0.000000
8599,0.588026,0.505000,0.000000,0.000000
8799,0.584103,0.435000,0.000000,0.000000
8999,0.582000,0.500000,0.000000,0.000000
9199,0.580244,0.510000,0.000000,0.000000
9399,0.579048,0.530000,0.000000,0.000000
9599,0.575581,0.430000,0.000000,0.000000
9799,0.575682,0.580000,0.000000,0.000000
9999,0.573444,0.475000,0.000000,0.000000
10199,0.568370,0.340000,0.000000,0.000000
10399,0.566596,0.485000,0.000000,0.000000
10599,0.565833,0.530000,0.000000,0.000000
10799,0.566633,0.605000,0.000000,0.000000
10999,0.568000,0.635000,0.000000,0.000000
11199,0.567941,0.565000,0.000000,0.000000
11399,0.569904,0.670000,0.000000,0.000000
11599,0.568679,0.505000,0.000000,0.000000
11799,0.566111,0.430000,0.000000,0.000000
11999,0.566455,0.585000,0.000000,0.000000
12199,0.566071,0.545000,0.000000,0.000000
12399,0.565789,0.550000,0.000000,0.000000
12599,0.565172,0.530000,0.000000,0.000000
12799,0.563983,0.495000,0.000000,0.000000
12999,0.561167,0.395000,0.000000,0.000000
13199,0.560738,0.535000,0.000000,0.000000
13399,0.558871,0.445000,0.000000,0.000000
13599,0.559127,0.575000,0.000000,0.000000
13799,0.557031,0.425000,0.000000,0.000000
13999,0.556308,0.510000,0.000000,0.000000
14199,0.556439,0.565000,0.000000,0.000000
14399,0.557836,0.650000,0.000000,0.000000
14599,0.556397,0.460000,0.000000,0.000000
14799,0.555507,0.495000,0.000000,0.000000
14999,0.557571,0.700000,0.000000,0.000000
15199,0.556197,0.460000,0.000000,0.000000
15399,0.558125,0.695000,0.000000,0.000000
15599,0.558836,0.610000,0.000000,0.000000
15799,0.558919,0.565000,0.000000,0.000000
15999,0.559000,0.565000,0.000000,0.000000
16199,0.560263,0.655000,0.000000,0.000000
16399,0.560455,0.575000,0.000000,0.000000
16599,0.559808,0.510000,0.000000,0.000000
16799,0.562089,0.740000,0.000000,0.000000
16999,0.564063,0.720000,0.000000,0.000000
17199,0.565556,0.685000,0.000000,0.000000
17399,0.567195,0.700000,0.000000,0.000000
17599,0.565904,0.460000,0.000000,0.000000
17799,0.565000,0.490000,0.000000,0.000000
17999,0.565353,0.595000,0.000000,0.000000
18199,0.565698,0.595000,0.000000,0.000000
18399,0.566897,0.670000,0.000000,0.000000
18599,0.568750,0.730000,0.000000,0.000000
18799,0.569607,0.645000,0.000000,0.000000
18999,0.569778,0.585000,0.000000,0.000000
19199,0.567473,0.360000,0.000000,0.000000
19399,0.567826,0.600000,0.000000,0.000000
19599,0.566989,0.490000,0.000000,0.000000
19799,0.566596,0.530000,0.000000,0.000000
19999,0.565684,0.480000,0.000000,0.000000
